username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
HaryanaTweets,18-06-2016 18:19,4,5,Ur right. Maan Gaye Aapko ! Aap @DhakadTau Hi Sachhe Follower hain. @sudhirchaudhary @capt_ivane @sardanarohit https:// twitter.com/dhakkadtau/sta tus/744097998381129728 …,,@DhakadTau @sudhirchaudhary @capt_ivane @sardanarohit,,7.44E+17,https://twitter.com/HaryanaTweets/status/744149989044035586
strongissilent,18-06-2016 14:40,0,0,"Modi ji ke sabse baday CAMP FOLLOWER to AAP hain Sirji...Din raat unki attention seek karte hain, nam japtay hain... https:// twitter.com/ArvindKejriwal /status/744093376992149504 …",,,,7.44E+17,https://twitter.com/strongissilent/status/744094981376323584
AnkitSi958299,18-06-2016 11:49,0,1,@RumizaShaikh7 Sambhal apne aap ko kahi haste haste mar gayi to Ek dost aur ek follower v kam ho jayenge mere,,@RumizaShaikh7,,7.44E+17,https://twitter.com/AnkitSi958299/status/744051954331029504
devsavanth,18-06-2016 07:16,0,0,"@mny71001_yadav no doubt that your hard core kejriwallll follower , Abusive Accuse Party ( AAP )",,@mny71001_yadav,,7.44E+17,https://twitter.com/devsavanth/status/743983095519420416
Virajkshah86,18-06-2016 04:49,0,0,@ArvindKejriwal Sir I had been a follower of AAP but i m no more just coz of this all. Anyways still I have very high hopes on you and AAP .,,@ArvindKejriwal,,7.44E+17,https://twitter.com/Virajkshah86/status/743946264723628033
architnama,17-06-2016 21:24,0,0,"@ArvindKejriwal I used to be AAP follower , but your tweets on Modi are annoying. please get a life and focus on Delhi. Dont be congress",,@ArvindKejriwal,,7.44E+17,https://twitter.com/architnama/status/743834146540130304
iamAkshay76,17-06-2016 19:09,0,0,@ArvindKejriwal sir follower aapki jhand ke liye bane h aap aiwee khush ho rhe ho,,@ArvindKejriwal,,7.44E+17,https://twitter.com/iamAkshay76/status/743800157339160576
PahLi_ArZoo,17-06-2016 14:50,0,0,"My all Frndz and Follower 's, Dil Ki atta Gahraaion say aap sab ko Ramzan uL Mubarik ka 2sra JUMMAH mubarik ho. Owner: Saaju Smk 03361695123",,,,7.44E+17,https://twitter.com/PahLi_ArZoo/status/743735081756295170
manish_428,16-06-2016 22:41,0,0,"@ashu3page @ArvindKejriwal @TimesNow u r correct follower of INC,thats a family party with chamchas, AAP is kejriwal party with his chamchas",,@ashu3page @ArvindKejriwal @TimesNow,,7.43E+17,https://twitter.com/manish_428/status/743491159792586752
ak_p20,16-06-2016 20:21,0,0,@Navi_Singla ha ha... Mid-life crisis of a wannabe Celeb.. socho 100K follower ke baad kya haal hoga aap ke dimaag ka..,,@Navi_Singla,,7.43E+17,https://twitter.com/ak_p20/status/743455852162519041
MrTippler,16-06-2016 13:25,2,5,"Q: Why did a Parsi AAP follower switch off his TV? A: Because, Ashutosh said, ""Stop this movie parsi now"";;;;""743351385018638336",https://twitter.com/MrTippler/status/743351385018638336,,,,
deo26,16-06-2016 08:48,2,3,She spoke the truth. Result - Anna's follower and Gandhian @ArvindKejriwal removes her from spkesperson post ! http:// indianexpress.com/article/india/ india-news-india/alka-lamba-aap-arvind-kejriwal-gopal-rai-2855364/ … #AAP,,@ArvindKejriwal,#AAP,7.43E+17,https://twitter.com/deo26/status/743281475362029569
Anuj_AAP,16-06-2016 03:45,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,7.43E+17,https://twitter.com/Anuj_AAP/status/743205421364584448
LowLifeHunter09,15-06-2016 22:55,0,1,Hahaha so apt... There was a time I loved being his follower and now I can happily be a part of ink throwers #AAP pic.twitter.com/M82SD9O9Tl,,,#AAP,7.43E+17,https://twitter.com/LowLifeHunter09/status/743132411802849280
