username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
USbreastfeeding,2016-12-19 09:00,1,2,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.10688611976933E+017,https://twitter.com/USbreastfeeding/status/810688611976933378,,
dewindia11,2016-12-18 23:35,0,1,@mdbaid @alamgirizvi @rkhuria sorry my whole family congress follower . My idol Indira ji and Rajeev ji . I am sad to see it.,,@mdbaid @alamgirizvi @rkhuria,,8.10546577798373E+017,https://twitter.com/dewindia11/status/810546577798373376,,
ravimor,2016-12-18 20:56,0,1,"this is the true color of congress @INCIndia and its follower . will not even spare Army for its gutter politics. NATION LAST, POWER FIRST. https:// twitter.com/RituRathaur/st atus/810479293654409218 …",,@INCIndia,,8.10506455736611E+017,https://twitter.com/ravimor/status/810506455736610817,,
sujansalian,2016-12-18 20:09,0,0,"@priyankac19 Lol!! Without even knowing that u r congress spokesperson, I guessed u r a #RaGa follower pic.twitter.com/0gYe96r7uN",,@priyankac19,#RaGa,8.1049463431707E+017,https://twitter.com/sujansalian/status/810494634317070338,,
USbreastfeeding,2016-12-18 09:00,0,2,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.103262220184E+017,https://twitter.com/USbreastfeeding/status/810326222018400257,,
4youDeep,2016-12-17 23:47,0,0,@OfficeOfRG hi rahul i m big follower of your family nd congress . Trust me u shud reveal abt modi or else u loose ur credibility. Do it,,@OfficeOfRG,,8.10187190093365E+017,https://twitter.com/4youDeep/status/810187190093365248,,
Dafruity,2016-12-17 13:15,0,1,@iDwijeshJani but their are rewarded no..so it's the CONgress /AAP follower who are the morons who still can't see thru ..,,@iDwijeshJani,,8.10028232669966E+017,https://twitter.com/Dafruity/status/810028232669966336,,
LokeshJ04059479,2016-12-16 15:07,0,0,Congress follower ... pic.twitter.com/OpubcnLZNa,,,,8.09694039331193E+017,https://twitter.com/LokeshJ04059479/status/809694039331192832,,
iPatelAnkit,2016-12-15 18:33,0,0,Is this dimwit for real? It seems she is an ardent follower of that moron from the congress party. https:// twitter.com/Loneranger9/st atus/809328690412670977 …,,,,8.0938345244108E+017,https://twitter.com/iPatelAnkit/status/809383452441079809,,
zzzznatzzzz,2016-12-15 18:23,0,0,"@gopi_buddy tat shows how stupid u r, oops congress follower and an aaptard wht can u expect? Sheer stupidity and mentally challanged too",,@gopi_buddy,,8.09380949922226E+017,https://twitter.com/zzzznatzzzz/status/809380949922226176,,
