username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,
restodehistoria,2016-12-30 04:20,0,0,Voting for Congress is like voting for Majithia: Kejriwal - India Today http:// ift.tt/2hu2tzE,,,,8.14604518713389E+017,https://twitter.com/restodehistoria/status/814604518713389061,,,
AllegedLowbrow,2016-12-30 04:20,0,0,"@CholericCleric So, Kejriwal is doing more damage to Congress than BJP? @Manchu71 @muralipiyer",,@CholericCleric @Manchu71 @muralipiyer,,8.14604430075171E+017,https://twitter.com/AllegedLowbrow/status/814604430075170816,,,
rohangolsalvis,2016-12-30 04:19,0,0,@pcpandey youths rejected AAP n Kejriwal witching 6 months Jeet kar Haarne wale ko AAPiye kehte hain @BeVoterNotFan @_MiteshPatel @naam_pk pic.twitter.com/yMAPZRfbYv,,@pcpandey @BeVoterNotFan @_MiteshPatel @naam_pk,,8.14604164361814E+017,https://twitter.com/rohangolsalvis/status/814604164361814017,,,
npatel1143,2016-12-30 04:13,0,1,"@TimesNow lot of people waiting for kejriwal to come and cancel their bills but modi scrap their black money , so they have to pay",,@TimesNow,,8.14602772247171E+017,https://twitter.com/npatel1143/status/814602772247171073,,,
firozborle,2016-12-30 04:10,0,0,@hankypanty @ArvindKejriwal padh be gandu kejriwal . @thetanmay mote come out of south mumbai shit hole and see reality https:// twitter.com/NazemNaqvi/sta tus/814540169701367808 …,,@hankypanty @ArvindKejriwal @thetanmay,,8.14601981540958E+017,https://twitter.com/firozborle/status/814601981540958208,,,
mw569256,2016-12-30 04:01,0,0,"Twitter Face-off with Amarinder Singh: Not fighting Punjab polls, tweets Arvind Kejriwal by Kanchan Vasdev via Ind… http:// ln.is/indianexpress. com/ar/paSji …",,,,8.14599719322354E+017,https://twitter.com/mw569256/status/814599719322353664,,,
ajit_1910,2016-12-30 04:00,0,0,@ShivSena @ArvindKejriwal sure kejriwal will praise Pakistani actress https:// twitter.com/asyounotwish/s tatus/814563419311448064 …,,@ShivSena @ArvindKejriwal,,8.14599388454679E+017,https://twitter.com/ajit_1910/status/814599388454678528,,,
rose_k01,2016-12-30 03:55,5,11,. @JhaSanjay Doing a Kejriwal ? Playing Raag Modiji?? Shouldnt you be asking @ArvindKejriwal this question?? https:// twitter.com/JhaSanjay/stat us/814514307937411072 …,,@JhaSanjay @ArvindKejriwal,,8.14598306663924E+017,https://twitter.com/rose_k01/status/814598306663923713,,,
Hindu_Guru,2016-12-30 03:55,0,0,@mvmeet @postcard_news Yes! Explain funding but only after RSS/BJP and Cong do the same #भाग_ Kejriwal _भाग,,@mvmeet @postcard_news,#,8.1459813684917E+017,https://twitter.com/Hindu_Guru/status/814598136849170432,,,
Hindu_Guru,2016-12-30 03:53,0,0,@sonaliarora0123 Severe damage cause by 67 vs 3 in Delhi.... Now RSS/BJP ka 24 hours Kejri - Kejri Mantrochcharan jaari #भाग_ Kejriwal _भाग,,@sonaliarora0123,#,8.14597739103351E+017,https://twitter.com/Hindu_Guru/status/814597739103350784,,,
chatterjee1988,2016-12-30 03:52,0,0,"Did you see the latest results of the poll on ""Do you trust Arvind Kejriwal ?..."" Check it out now! http:// myvote.today/app?t=r",,,,8.14597530709361E+017,https://twitter.com/chatterjee1988/status/814597530709360640,,,
