username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
sunilddesai,2016-02-16 08:50,0,0,Any action by BJP follower or elected leader is justified because they are GOD's legacy on Earth rest do not matter @arunjaitley,,@arunjaitley,,6.99433205724799E+017,https://twitter.com/sunilddesai/status/699433205724798978,
mohitd2015,2016-02-16 07:21,0,0,@ArvindKejriwal .. Sir I just saw you r follower of INC grt.. But don't lose ur stand against corruption just to oppose Modi or BJP ...,,@ArvindKejriwal,,6.99410730148192E+017,https://twitter.com/mohitd2015/status/699410730148192256,
karwan_an,2016-02-15 19:36,0,0,@abhisar_sharma @OPSharmaBJP @anuragdhanda See the language of BJP leader and now see the language of its follower . Shocking.,,@abhisar_sharma @OPSharmaBJP @anuragdhanda,,6.9923337778679E+017,https://twitter.com/karwan_an/status/699233377786789889,
shuvankr,2016-02-15 09:17,0,0,Why do BJP send 20-25 follower wale to troll .. khamokha block ho jatey hain #LOL,,,#LOL,6.99077506368836E+017,https://twitter.com/shuvankr/status/699077506368835584,
RohitRoshan10,2016-02-14 18:16,0,0,"@qzindia follower of Karl marx are treated as terrorist in country like India shame,remove his ideology in text book. 'media dalal of bjp '.",,@qzindia,,6.98850752341541E+017,https://twitter.com/RohitRoshan10/status/698850752341540864,
abhhraj,2016-02-14 13:41,0,0,"Am not a BJP follower , but kudos to @Dev_Fadnavis 4 signing MOUs for Vidarbha & Marathwada, creating jobs. Congress shud take note.",,@Dev_Fadnavis,,6.98781709341368E+017,https://twitter.com/abhhraj/status/698781709341368320,
FillAwwSuffer,2016-02-13 22:49,0,0,There is a Dalit mutual follower I have who is a BJP supporter and thinks Dalits protesting BJP are anti-India.He is a Canadian citizen btw.,,,,6.9855700832931E+017,https://twitter.com/FillAwwSuffer/status/698557008329310208,
VikasVety,2016-02-13 20:35,0,0,@mlkhattar sir G vlda ke vacancy re-add kar do G please hamne BJP ko vote diya tha G i am a follower of dera sacha sauda,,@mlkhattar,,6.98523300167684E+017,https://twitter.com/VikasVety/status/698523300167684096,
iknowiamcool,2016-02-13 13:46,0,0,@SibaniSahu @Support_changee exactly u don't care coz u r blind follower . ( BJP 282 PAAP 4) more than 300 lost deposit. Now laugh. ROFL,,@SibaniSahu @Support_changee,,6.98420588784673E+017,https://twitter.com/iknowiamcool/status/698420588784672768,
bhupendra_,2016-02-13 11:33,0,1,Be a BJP /AAP/Congress/Left or any other party follower but don't support terrorism coz terrorist has no country #JNUCrackdown,,,#JNUCrackdown,6.98386910608122E+017,https://twitter.com/bhupendra_/status/698386910608121856,
neelamdubey15,2016-02-13 11:30,0,0,@abhisar_sharma all bjp follower freedom fighter,,@abhisar_sharma,,6.9838624882246E+017,https://twitter.com/neelamdubey15/status/698386248822460416,
baljeet_11,2016-02-13 07:36,0,0,@timesofindia now bjp follower will nt forgive him #lol ... in india u can speak against god but not modi :-P,,@timesofindia,#lol,6.98327370881704E+017,https://twitter.com/baljeet_11/status/698327370881703936,
Saurabh981000,2016-02-12 22:20,0,0,@ArvindKejriwal Are you mad by or you have done any special course of this foolishness. I'm not a BJP follower but not allow to abuse as u,,@ArvindKejriwal,,6.98187363428618E+017,https://twitter.com/Saurabh981000/status/698187363428618240,
jaihindShweta,2016-02-12 19:29,3,1,"@AAPjanselaab @BJP _live_now याद रखिये कि आप के केवल 300 follower हैं जिस आदमी से नफ़रत है आप को, उसे पूरा वर्ल्ड follow करता है !भाई",,@AAPjanselaab @BJP,,6.98144503459348E+017,https://twitter.com/jaihindShweta/status/698144503459348480,
Birinchi_bjp,2016-02-12 15:20,0,0,1 weekly follower . 0 unfollowers. Crowdfire doesn't miss a trick -via http:// ln.is/www.crowdfirea pp.com/HMIwB …,,,,6.98081681778074E+017,https://twitter.com/Birinchi_bjp/status/698081681778073600,
manialmal,2016-02-11 18:58,0,2,@dhrumil_soni @TheRahulMehra @anandmahindra @KapilMishraAAP BJP min started using social media after IAC & AAP shown its power. BJP follower,,@dhrumil_soni @TheRahulMehra @anandmahindra @KapilMishraAAP,,6.97774263290298E+017,https://twitter.com/manialmal/status/697774263290298368,
kshitij_thakur1,2016-02-11 18:01,0,2,@sardanarohit one of the best news channel and you are one of the best news anchor. BJP follower hun but ye ummed nahi thi.,,@sardanarohit,,6.9775998053181E+017,https://twitter.com/kshitij_thakur1/status/697759980531810304,
atuls_bjp,2016-02-11 14:59,0,0,"New week, new tweets, new stats. 1 follower , 0 unfollowers. Via good old http://www. crowdfireapp.com/?r=tw",,,,6.97714013229154E+017,https://twitter.com/atuls_bjp/status/697714013229154304,
manojku13791464,2016-02-11 07:00,0,0,@sudhirchaudhary @ShivSha72275437 @JainendraNahata @ZeeNews @sardanarohit sir u are follower of bjp andu always support bjp,,@sudhirchaudhary @ShivSha72275437 @JainendraNahata @ZeeNews @sardanarohit,,6.97593463508873E+017,https://twitter.com/manojku13791464/status/697593463508873217,
Rohino,2016-02-10 23:12,0,0,@sanjivanibooty Got to be sanghi n bjp follower to understand this.,,@sanjivanibooty,,6.97475664211943E+017,https://twitter.com/Rohino/status/697475664211943424,
rahuljainmlk,2016-02-10 22:51,0,0,Its d voice of every bjp follower in punjab not to contest in alliance with SAD pls hear mrs sidhu @sherryontopp @narendramodi plsssssssss,,@sherryontopp @narendramodi,,6.97470454395597E+017,https://twitter.com/rahuljainmlk/status/697470454395596801,
sairam1951,2016-02-10 07:09,0,0,Am yr ardent follower & a member of BJP as well. I retired as a class I officer from a central govt office. Request to kindly intervene/help,,,,6.97233332480815E+017,https://twitter.com/sairam1951/status/697233332480815104,
